date,league,home_team,away_team,score,odds_home,odds_draw,odds_away
2026-05-01,Import League,Alpha FC,Beta United,2-1,1.88,3.30,4.10
2026-05-02,Import League,Gamma Town,Delta City,1-1,2.10,3.15,3.40
2026-05-03,Import League,Echo Rovers,Foxtrot SC,0-2,2.45,3.10,2.80
2026-05-04,Import League,Alpha FC,Gamma Town,3-0,1.78,3.45,4.35
2026-05-05,Import League,Beta United,Delta City,1-0,2.05,3.20,3.50
2026-05-06,Import League,Echo Rovers,Alpha FC,1-2,3.25,3.30,2.08
2026-05-07,Import League,Foxtrot SC,Gamma Town,2-2,2.15,3.10,3.30
2026-05-08,Import League,Delta City,Echo Rovers,2-0,1.95,3.25,3.75
2026-05-09,Import League,Beta United,Foxtrot SC,0-1,2.35,3.05,2.95
2026-05-10,Import League,Gamma Town,Alpha FC,1-1,3.10,3.25,2.18
