date,league,home_team,away_team,score,odds_home,odds_draw,odds_away
2026-04-01,Rehearsal League,Alpha FC,Beta United,2-1,1.88,3.30,4.10
2026-04-02,Rehearsal League,Gamma Town,Delta City,1-1,2.10,3.15,3.40
2026-04-03,Rehearsal League,Echo Rovers,Foxtrot SC,0-2,2.45,3.10,2.80
2026-04-04,Rehearsal League,Alpha FC,Gamma Town,3-0,1.78,3.45,4.35
2026-04-05,Rehearsal League,Beta United,Delta City,1-0,2.05,3.20,3.50
2026-04-06,Rehearsal League,Echo Rovers,Alpha FC,1-2,3.25,3.30,2.08
2026-04-07,Rehearsal League,Foxtrot SC,Gamma Town,2-2,2.15,3.10,3.30
2026-04-08,Rehearsal League,Delta City,Echo Rovers,2-0,1.95,3.25,3.75
2026-04-09,Rehearsal League,Beta United,Foxtrot SC,0-1,2.35,3.05,2.95
2026-04-10,Rehearsal League,Gamma Town,Alpha FC,1-1,3.10,3.25,2.18
2026-04-11,Rehearsal League,Delta City,Foxtrot SC,2-1,2.00,3.25,3.55
2026-04-12,Rehearsal League,Echo Rovers,Beta United,1-3,2.70,3.20,2.45
2026-04-13,Rehearsal League,Alpha FC,Delta City,2-0,1.78,3.45,4.25
2026-04-14,Rehearsal League,Gamma Town,Echo Rovers,2-1,1.95,3.30,3.65
2026-04-15,Rehearsal League,Foxtrot SC,Alpha FC,0-0,3.40,3.20,2.05
2026-04-16,Rehearsal League,Beta United,Gamma Town,1-2,2.40,3.15,2.82
2026-04-17,Rehearsal League,Delta City,Alpha FC,1-2,3.05,3.25,2.20
2026-04-18,Rehearsal League,Echo Rovers,Foxtrot SC,2-2,2.30,3.05,3.05
2026-04-19,Rehearsal League,Alpha FC,Echo Rovers,3-0,1.70,3.60,4.60
2026-04-20,Rehearsal League,Foxtrot SC,Beta United,1-1,2.12,3.20,3.30
2026-04-21,Rehearsal League,Gamma Town,Delta City,,2.05,3.15,3.55
