比赛日期,赛事,主队,客队,比分,半场比分,胜赔,平赔,负赔,让球,让胜,让平,让负
2026-05-01,导入测试联赛,鹿岛鹿角,横滨水手,2-1,1-0,1.86,3.35,4.20,-1,3.10,3.40,1.95
2026-05-02,导入测试联赛,蔚山HD,浦项制铁,1-1,0-1,2.05,3.15,3.55,0,2.05,3.15,3.55
2026-05-03,导入测试联赛,博德闪耀,罗森博格,3-0,2-0,1.72,3.65,4.40,-1,2.42,3.45,2.35
2026-05-04,导入测试联赛,马尔默,赫根,0-2,0-1,2.20,3.25,3.00,0,2.20,3.25,3.00
2026-05-05,导入测试联赛,弗拉门戈,圣保罗,2-2,1-1,1.95,3.30,3.70,-1,3.35,3.40,1.88
2026-05-06,导入测试联赛,横滨水手,鹿岛鹿角,1-0,0-0,2.30,3.20,2.88,0,2.30,3.20,2.88
2026-05-07,导入测试联赛,浦项制铁,蔚山HD,0-1,0-1,2.60,3.05,2.62,1,1.52,3.75,4.80
2026-05-08,导入测试联赛,罗森博格,博德闪耀,1-3,1-2,3.05,3.40,2.12,1,1.64,3.80,4.10
2026-05-09,导入测试联赛,赫根,马尔默,1-1,1-0,2.45,3.35,2.58,0,2.45,3.35,2.58
2026-05-10,导入测试联赛,圣保罗,弗拉门戈,0-0,0-0,2.85,3.10,2.38,1,1.48,3.85,5.20
